Time,Pos_x,Pos_y,Pos_z,Vel_x,Vel_y,Vel_z,Des_x,Des_y,Des_z,Position_Error,Traj_time,Yaw,Battery_Voltage,PWM_0,PWM_1,PWM_2,PWM_3
1770216053.1059885,-0.018318641930818558,-0.011328165419399738,5.248411655426025,0.019185462966561317,0.011273978278040886,0.2656920552253723,0.0,0.0,5.556568828040948,0.30890895585589967,3.2202533680000003,0.0,15.759000778198242,778,778,776,777
1770216053.1257944,-0.0179174542427063,-0.010592176578938961,5.257236480712891,0.019085584208369255,0.011955546215176582,0.2731168866157532,0.0,0.0,5.566898124613575,0.31036037613473305,3.2400528200000003,0.0,15.759000778198242,778,778,776,776
1770216053.145833,-0.0179174542427063,-0.010592176578938961,5.257236480712891,0.019085584208369255,0.011955546215176582,0.2731168866157532,0.0,0.0,5.57748755188588,0.32092674858706594,3.2601027830000002,0.0,15.759000778198242,778,778,776,776
1770216053.165702,-0.017542056739330292,-0.00976496934890747,5.266261100769043,0.018762890249490738,0.012626785784959793,0.28062766790390015,0.0,0.0,5.588116358981901,0.32248082984930554,3.279982325,0.0,15.759000778198242,778,778,776,776
1770216053.1858895,-0.017542056739330292,-0.00976496934890747,5.266261100769043,0.018762890249490738,0.012626785784959793,0.28062766790390015,0.0,0.0,5.599028022614644,0.3333720184053055,3.3001432860000004,0.0,15.759000778198242,778,778,776,776
1770216053.2058277,-0.01718781888484955,-0.008849856443703175,5.275521278381348,0.018510518595576286,0.013316873461008072,0.2881160080432892,0.0,0.0,5.609960005246032,0.3349970195448962,3.320097747,0.0,15.759000778198242,778,778,776,776
1770216053.225823,-0.01686262898147106,-0.007842493243515491,5.285038948059082,0.018316857516765594,0.01380922831594944,0.29597410559654236,0.0,0.0,5.621036014196441,0.3365113391987763,3.34007341,0.0,15.759000778198242,778,779,777,777
1770216053.2460067,-0.01686262898147106,-0.007842493243515491,5.285038948059082,0.018316857516765594,0.01380922831594944,0.29597410559654236,0.0,0.0,5.632348076672789,0.34780667586297714,3.360231129,0.0,15.759000778198242,778,779,777,777
1770216053.2659092,-0.016531826928257942,-0.00652723666280508,5.297296047210693,0.018009545281529427,0.014449055306613445,0.3058491349220276,0.0,0.0,5.643659374084352,0.3468190599188968,3.380148519,0.0,15.759000778198242,778,779,777,777
1770216053.2860446,-0.016531826928257942,-0.00652723666280508,5.297296047210693,0.018009545281529427,0.014449055306613445,0.3058491349220276,0.0,0.0,5.655225540496868,0.35837051815702714,3.4002748460000003,0.0,15.759000778198242,778,779,777,777
